Bike Route	5201 Monroe St	Toledo	OH	43623	41.701033	-83.648853
Hair	32 Juniper St	Lester Prairie	MN	55354	44.884795	-94.04202
Rain-Flow of North Florida	3003 Ne 19th Dr	Gainesville	FL	32609	29.680311	-82.298398
Deal Robert W CPA	2184 S Sievers Rd	Verne	IN	47591	38.652455	-87.507815
Tri-Com Technologies Inc	2540 Viceroy Dr	Muddy Creek	NC	27103	36.045979	-80.3249
Mash Army and Navy Store	721 8th Ave	New York	NY	10036	40.759343	-73.988291
Jersey Mikes Subs	12872 Alpharetta Hwy	Alpharetta	GA	30004	34.097914	-84.272032
Terra International	201 South State Rd 43	Brookston	IN	47923	40.6064	-86.868609
Storage Max Independent Storage and Garretts	2416 Lakeview Pkwy	Rowlett	TX	75088	32.908096	-96.580709
Nisivoccia & Company Llp	5 Emery Ave	Victory Gardens	NJ	07869	40.861677	-74.583792
Garlic and Chili Thai Cuisine	1232 N La Salle Dr	Chicago	IL	60610		
Wine Way Inn	1019 Foothill Blvd	Calistoga	CA	92884	38.57473	-122.578997
Ultimate Genetics	6262 Camp Cooley Rd	Owensville	TX	77856		
Appalachian Girl Scout Council	P.O. Box 3100	Johnson City	TN	37602		
C. M. Estes Hatchery, Inc	P.O. Box 5776	Nichols	MO	65802		
7-Eleven Hawaii Inc - Convenience Stores, Moanalua	4805 Bougainville Dr	Foster Village	HI	96818	21.344887	-157.931194
Klecan, Mark J	6000 Uptown Blvd	Albuquerque	NM	87110	35.105472	-106.57756
Baeuerle Johanna	326 N Highland Ave	Upper Nyack	NY	10960	41.099897	-73.926102
Hecker Brown Sherry and Johnson Llp	1700 Two Logan Square	Philadelphia	PA	19103		
Fredrickson Lauralyn G MD	5 W 86th St	New York	NY	10024	40.785516	-73.969865
Court Trustee L A County	320 W Temple St	Los Angeles	CA	90012	34.055874	-118.243726
Palm Busch Realty	1660 Ne 12th Ter	Jenada Isles	FL	33305	26.149583	-80.13147
Lutheran Church Immanuel	215 N Poplar St	Loda	IL	60948	40.517226	-88.068736
Nunez Plumbing	1040 W 26th St	Houston	TX	77008	29.80981	-95.416879
Suzy	1072 Spring Hill	West Dundee	IL	60118		
Ship of Fools Restaurant	2072 Captain Whidbey Inn Rd		WA	98239		
Bostrom Stuart A MD	2 Medical Plaza Dr, #205	Roseville	CA	95661		
Maranatha Christian Church	1037 S Brownell Rd	Williston	VT	05495	44.448837	-73.12632
Integrity Abstract Corp	120 Front St	Mineola	NY	11501	40.741036	-73.635281
Longo, Aaron J	100 North Tryon St, #2900	Charlotte	NC	28202		
West Liberty Lumber	6506 Us Highway 68	West Liberty	OH	43357		
Trail of Faith	401 Church St	Valdese	NC	28690	35.747301	-81.568626
Beaucar Graphics	2100 Arrow Hwy	la Verne	CA	91750		
Centro Del Agente	10 Sherwood Dr	Salinas	CA	93901		
Starlight Caterers	5924 Monticello Dr	Montgomery	AL	36117		
Rmf Engineering	4309 Emperor Blvd	Morrisville	NC	27560		
Key Cleaning Svc	1585 E M 79 Hwy	Hastings	MI	49058	42.610215	-85.260155
First Brethren Church	135 E Main St	Wells	IN	46970	40.75553	-86.064453
National Childcare Systems	13100 Weather Vane Way	Herndon	VA	20171	38.939121	-77.400266
Summerville Steel	11648 Washington Blvd	Whittier	CA	90606	33.9701	-118.063573
